# timestamp	commit	deps	machine	target	label	n	median	p95	max	note
2026-09-24 18:55:49	a859d87+	-	ADV-DEV-56627	yugioh	parse+check	5	3778.63	4272.43	4272.43	erwarteter typ
2026-09-24 19:32:57	aa873a6+	-	ADV-DEV-56627	yugioh	parse+check	5	3668.01	3909.50	3909.50	vor CheckRun-Umbau
2026-09-24 19:35:14	aa873a6+	-	ADV-DEV-56627	yugioh	parse+check	5	3561.63	3870.33	3870.33	nach CheckRun-Umbau
2026-09-24 19:45:43	4d0d742+	-	ADV-DEV-56627	yugioh	parse+check	5	3919.89	3941.18	3941.18	onProgress-Haken in inferType
2026-09-24 20:34:09	4d0d742+	-	ADV-DEV-56627	yugioh	parse+check	5	1204.95	1548.08	1548.08	Bench wie CLI ohne Klon von unchecked (cloneUnchecked: false)
2026-09-25 08:31:25	600ec3f+	-	ADV-DEV-56627	yugioh	parse+check	5	10635.22	12615.77	12615.77	feldreferenzen
2026-09-25 08:48:47	600ec3f+	-	ADV-DEV-56627	yugioh	parse+check	5	1418.32	1688.99	1688.99	feldreferenzen, wiederholt ohne fremde last
2026-09-25 10:16:23	c68184a+	-	ADV-DEV-56627	yugioh	parse+check	5	1336.54	1718.41	1718.41	erwarteter Typ hinter Spread bei List(X) und Rest-Parameter
2026-09-25 10:30:14	7e26875+	-	ADV-DEV-56627	yugioh	parse+check	5	1464.30	1701.76	1701.76	Fehlerposition liest expectedType
2026-09-25 10:50:18	ef8cdeb+	-	ADV-DEV-56627	yugioh	parse+check	5	1387.12	1753.88	1753.88	vor unused-definitions
2026-09-25 10:56:22	ef8cdeb+	-	ADV-DEV-56627	yugioh	parse+check	5	1361.24	1667.63	1667.63	nach unused-definitions
